dossier_id,section_id,module,presence,length_status,correctness,error_tags,corrected_from_model
DOS-67F3C3925E,m1_application_admin,1,present,length_ok,correct,,False
DOS-67F3C3925E,m1_manufacturer_gmp,1,present,length_ok,incorrect,gmp_certificate_expired,False
DOS-67F3C3925E,m1_product_information,1,present,length_ok,correct,,False
DOS-67F3C3925E,m2_quality_overall_summary,2,present,length_ok,correct,,False
DOS-67F3C3925E,m2_clinical_overview,2,present,length_ok,incorrect,clinical_failed,False
DOS-67F3C3925E,m3_api_quality,3,present,length_ok,correct,,False
DOS-67F3C3925E,m3_fpp_manufacturing,3,present,length_ok,correct,,False
DOS-67F3C3925E,m3_stability,3,present,length_ok,correct,,False
DOS-67F3C3925E,m4_nonclinical_summary,4,present,length_ok,correct,,False
DOS-67F3C3925E,m5_trial_listing,5,present,length_ok,correct,,False
DOS-67F3C3925E,m5_pivotal_trial_reports,5,present,length_ok,incorrect,clinical_failed,False
DOS-67F3C3925E,m5_bioequivalence,5,present,length_ok,correct,,False
DOS-DA34395B8D,m1_application_admin,1,present,length_ok,correct,,False
DOS-DA34395B8D,m1_manufacturer_gmp,1,present,length_ok,correct,,False
DOS-DA34395B8D,m1_product_information,1,present,length_ok,incorrect,inn_infringement,False
DOS-DA34395B8D,m2_quality_overall_summary,2,present,length_ok,correct,,False
DOS-DA34395B8D,m2_clinical_overview,2,missing,missing,incorrect,missing_critical_section,False
DOS-DA34395B8D,m3_api_quality,3,present,length_ok,correct,,False
DOS-DA34395B8D,m3_fpp_manufacturing,3,present,length_ok,correct,,False
DOS-DA34395B8D,m3_stability,3,present,length_ok,correct,,False
DOS-DA34395B8D,m4_nonclinical_summary,4,present,length_ok,correct,,False
DOS-DA34395B8D,m5_trial_listing,5,present,length_ok,correct,,False
DOS-DA34395B8D,m5_pivotal_trial_reports,5,present,length_ok,correct,,False
DOS-DA34395B8D,m5_bioequivalence,5,present,length_ok,correct,,False
DOS-F33B4E1216,m1_application_admin,1,present,length_ok,correct,,False
DOS-F33B4E1216,m1_manufacturer_gmp,1,present,length_ok,partial,gmp_outdated,False
DOS-F33B4E1216,m1_product_information,1,present,length_ok,incorrect,inn_infringement,False
DOS-F33B4E1216,m2_quality_overall_summary,2,present,length_ok,correct,,False
DOS-F33B4E1216,m2_clinical_overview,2,present,length_ok,correct,,False
DOS-F33B4E1216,m3_api_quality,3,present,length_ok,correct,,False
DOS-F33B4E1216,m3_fpp_manufacturing,3,present,length_ok,correct,,False
DOS-F33B4E1216,m3_stability,3,present,length_ok,correct,,False
DOS-F33B4E1216,m4_nonclinical_summary,4,present,length_ok,correct,,False
DOS-F33B4E1216,m5_trial_listing,5,present,length_ok,correct,,False
DOS-F33B4E1216,m5_pivotal_trial_reports,5,present,length_ok,correct,,False
DOS-F33B4E1216,m5_bioequivalence,5,present,length_ok,correct,,False
DOS-EE4BAD4B87,m1_application_admin,1,present,length_ok,correct,,False
DOS-EE4BAD4B87,m1_manufacturer_gmp,1,present,length_ok,correct,,False
DOS-EE4BAD4B87,m1_product_information,1,present,length_ok,correct,,False
DOS-EE4BAD4B87,m2_quality_overall_summary,2,present,length_ok,correct,,False
DOS-EE4BAD4B87,m2_clinical_overview,2,present,length_ok,correct,,False
DOS-EE4BAD4B87,m3_api_quality,3,present,length_ok,correct,,False
DOS-EE4BAD4B87,m3_fpp_manufacturing,3,present,length_ok,correct,,False
DOS-EE4BAD4B87,m3_stability,3,present,length_ok,correct,,False
DOS-EE4BAD4B87,m4_nonclinical_summary,4,present,length_ok,correct,,False
DOS-EE4BAD4B87,m5_trial_listing,5,present,length_ok,correct,,False
DOS-EE4BAD4B87,m5_pivotal_trial_reports,5,present,length_ok,correct,,False
DOS-EE4BAD4B87,m5_bioequivalence,5,present,length_ok,correct,,False
DOS-DAFD20BB27,m1_application_admin,1,present,length_ok,correct,,False
DOS-DAFD20BB27,m1_manufacturer_gmp,1,present,length_ok,correct,,False
DOS-DAFD20BB27,m1_product_information,1,present,length_ok,incorrect,inn_infringement,False
DOS-DAFD20BB27,m2_quality_overall_summary,2,present,length_ok,correct,,False
DOS-DAFD20BB27,m2_clinical_overview,2,present,length_ok,incorrect,clinical_failed,False
DOS-DAFD20BB27,m3_api_quality,3,missing,missing,incorrect,missing_critical_section,False
DOS-DAFD20BB27,m3_fpp_manufacturing,3,present,length_ok,correct,,False
DOS-DAFD20BB27,m3_stability,3,present,length_ok,correct,,False
DOS-DAFD20BB27,m4_nonclinical_summary,4,present,length_ok,correct,,False
DOS-DAFD20BB27,m5_trial_listing,5,present,length_ok,correct,,False
DOS-DAFD20BB27,m5_pivotal_trial_reports,5,present,length_ok,incorrect,clinical_failed,False
DOS-DAFD20BB27,m5_bioequivalence,5,present,length_ok,correct,,False
DOS-FA03B0C331,m1_application_admin,1,present,length_ok,correct,,False
DOS-FA03B0C331,m1_manufacturer_gmp,1,present,length_ok,correct,,False
DOS-FA03B0C331,m1_product_information,1,present,length_ok,correct,,False
DOS-FA03B0C331,m2_quality_overall_summary,2,present,length_ok,correct,,False
DOS-FA03B0C331,m2_clinical_overview,2,present,length_ok,correct,,False
DOS-FA03B0C331,m3_api_quality,3,present,length_ok,correct,,False
DOS-FA03B0C331,m3_fpp_manufacturing,3,present,length_ok,correct,,False
DOS-FA03B0C331,m3_stability,3,present,length_ok,correct,,False
